machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.2,0.9333,46358000000.0,153982000000.0,51258000000.0,454548000000.0,1372000000.0,1138000000.0,16000000.0,26000000.0,7370959.0,100369000000.0,52178312726.0,105105.0,2279486.0,2274000000.0,49.486368,,,,6.511632
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.2 -pa,0.95,46352000000.0,153984000000.0,51254000000.0,454536000000.0,1370000000.0,1136000000.0,16000000.0,30000000.0,7371388.0,100368000000.0,52152244557.0,105105.0,2279486.0,2264000000.0,50.407621,,,,6.592379
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.3,0.95,47414000000.0,157480000000.0,52422000000.0,464876000000.0,1400000000.0,1160000000.0,20000000.0,30000000.0,7537365.0,102648000000.0,53352542041.0,105105.0,2281194.0,2366000000.0,51.648955,,,,5.351045
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.3 -pa,0.9666,47410000000.0,157474000000.0,52422000000.0,464870000000.0,1404000000.0,1162000000.0,20000000.0,30000000.0,7539113.0,102648000000.0,53365829465.0,105104.0,2281194.0,2342000000.0,51.702942,,,,6.293058
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.4,0.9666,48378000000.0,160712000000.0,53496000000.0,474418000000.0,1432000000.0,1188000000.0,16000000.0,30000000.0,7693300.0,104757000000.0,54602278538.0,105104.0,2282720.0,2390000000.0,52.827784,,,,5.168216
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.4 -pa,0.9666,48384000000.0,160718000000.0,53498000000.0,474420000000.0,1444000000.0,1188000000.0,18000000.0,30000000.0,7693202.0,104755000000.0,54528813191.0,105104.0,2282718.0,2390000000.0,52.170918,,,,5.825082
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.5,0.9833,49326000000.0,163804000000.0,54530000000.0,483538000000.0,1322000000.0,1206000000.0,18000000.0,32000000.0,7846156.0,106871000000.0,55559561627.0,105104.0,2284062.0,2518000000.0,54.079351,,,,4.918649
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.5,1.0,56910642857.0,91065750000.0,31338785714.0,246224000000.0,224642857.1,94428571.43,32821428.57,27357142.86,24385.10714,1927723150.0,17523080904.0,108902.7321,2110237.714,2466035714.0,23.23255114,,,,36.76744886
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.5 -pa,0.9833,49320000000.0,163802000000.0,54528000000.0,483526000000.0,1316000000.0,1210000000.0,20000000.0,32000000.0,7845880.0,106871000000.0,55651301809.0,105104.0,2284062.0,2488000000.0,53.804595,,,,5.193405
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.5 -pa,0.9666,57412000000.0,91843428571.0,31584500000.0,248297000000.0,225142857.1,94428571.43,32857142.86,27321428.57,24393.85714,1927803752.0,17611821988.0,108958.7321,2110238.714,2480357143.0,23.29955866,,,,34.69644134
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.6,1.0166,50226000000.0,166884000000.0,55548000000.0,492648000000.0,1484000000.0,1234000000.0,16000000.0,28000000.0,7987262.0,108786000000.0,56612861431.0,105104.0,2285587.0,2488000000.0,54.119857,,,,6.876143
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.6 -pa,1.0166,50224000000.0,166884000000.0,55548000000.0,492642000000.0,1484000000.0,1232000000.0,22000000.0,30000000.0,7988272.0,108785000000.0,56557997346.0,105105.0,2285586.0,2420000000.0,53.402774,,,,7.593226
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.7,1.0166,51168000000.0,169982000000.0,56576000000.0,501792000000.0,1518000000.0,1258000000.0,20000000.0,30000000.0,8135450.0,110801000000.0,57706634900.0,105105.0,2287050.0,2540000000.0,55.19902,,,,5.79698
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.7 -pa,1.0333,51178000000.0,169984000000.0,56584000000.0,501800000000.0,1520000000.0,1254000000.0,18000000.0,30000000.0,8134979.0,110802000000.0,57625340572.0,105103.0,2287048.0,2496000000.0,55.629309,,,,6.368691
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.8,1.0333,52108000000.0,173050000000.0,57606000000.0,510826000000.0,1542000000.0,1276000000.0,18000000.0,30000000.0,8281426.0,112792000000.0,58704608009.0,105105.0,2288514.0,2518000000.0,55.632488,,,,6.365512
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.8 -pa,1.0333,52096000000.0,173044000000.0,57604000000.0,510806000000.0,1538000000.0,1282000000.0,20000000.0,40000000.0,8280163.0,112791000000.0,58664317102.0,105104.0,2288515.0,2568000000.0,56.263143,,,,5.734857
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.9,1.0666,52986000000.0,176060000000.0,58600000000.0,519740000000.0,1576000000.0,1306000000.0,20000000.0,30000000.0,8425715.0,114772000000.0,59663085113.0,105105.0,2289917.0,2594000000.0,57.099779,,,,6.896221
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.9 -pa,1.0333,52984000000.0,176058000000.0,58602000000.0,519722000000.0,1568000000.0,1306000000.0,22000000.0,34000000.0,8423809.0,114772000000.0,59677377112.0,105103.0,2289916.0,2606000000.0,57.123776,,,,4.874224
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4,1.1166,55026000000.0,182760000000.0,60840000000.0,539442000000.0,1468000000.0,1346000000.0,20000000.0,34000000.0,8738068.0,119067000000.0,61959228187.0,105104.0,2293099.0,2826000000.0,59.551817,,,,7.444183
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4,1.0833,64030071429.0,102463000000.0,35221928571.0,276953000000.0,251857142.9,105392857.1,36678571.43,30571428.57,24432.82143,2151204941.0,19499350987.0,108901.7679,2110395.804,2716071429.0,26.14075173,,,,38.85724827
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4 -pa,1.1,54976000000.0,182724000000.0,60820000000.0,539384000000.0,1474000000.0,1346000000.0,22000000.0,34000000.0,8738390.0,119066000000.0,61992888106.0,105105.0,2293098.0,2760000000.0,60.07654,,,,5.92346
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4 -pa,1.05,63745142857.0,101984000000.0,35088571429.0,275752000000.0,250178571.4,107107142.9,36428571.43,30607142.86,24135.60714,2151237972.0,19335918506.0,108957.75,2110398.982,2720142857.0,26.12666041,,,,36.87333959
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4.1,1.1666,57992000000.0,192714000000.0,64148000000.0,568864000000.0,1718000000.0,1424000000.0,26000000.0,38000000.0,9217837.0,125624000000.0,65303332220.0,105105.0,2297816.0,2860000000.0,62.557218,,,,7.438782
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4.1 -pa,1.15,57956000000.0,192692000000.0,64134000000.0,568838000000.0,1712000000.0,1422000000.0,24000000.0,36000000.0,9218376.0,125625000000.0,65340194060.0,105105.0,2297816.0,2880000000.0,63.336294,,,,5.663706
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4.2,1.2166,61438000000.0,204168000000.0,67962000000.0,602678000000.0,1816000000.0,1512000000.0,22000000.0,38000000.0,9765276.0,133089000000.0,69241571831.0,105104.0,2303264.0,2980000000.0,66.663705,,,,6.332295
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4.2 -pa,1.2333,61440000000.0,204170000000.0,67970000000.0,602688000000.0,1822000000.0,1514000000.0,26000000.0,44000000.0,9774957.0,133095000000.0,69233062229.0,105104.0,2303263.0,3010000000.0,65.492137,,,,8.505863
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4.3,1.3,65460000000.0,217444000000.0,72390000000.0,641848000000.0,1936000000.0,1606000000.0,20000000.0,42000000.0,10401205.0,141738000000.0,73808882630.0,105105.0,2309486.0,3230000000.0,71.039487,,,,6.960513
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4.3 -pa,1.3166,65442000000.0,217432000000.0,72382000000.0,641840000000.0,1934000000.0,1614000000.0,18000000.0,42000000.0,10400296.0,141734000000.0,73700252959.0,105104.0,2309487.0,3204000000.0,70.369001,,,,8.626999
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 4.4,1.3833,69228000000.0,230096000000.0,76592000000.0,679252000000.0,2052000000.0,1700000000.0,30000000.0,44000000.0,11008313.0,150003000000.0,78030453837.0,105105.0,2315464.0,3408000000.0,74.855696,,,,8.142304
